setup,indicator,nobj,problem,nvar,value
reimprove-fronts,hv,10,DTLZ6,51,247144780375020.0
reimprove-fronts,hv,10,DTLZ7,31,200098018852020.0
reimprove-fronts,hv,10,DTLZ7,41,199899769380063.6
reimprove-fronts,hv,10,DTLZ7,51,197761277710872.7
reimprove-fronts,hv,10,WFG1,31,247358512584334.9
reimprove-fronts,hv,10,WFG1,41,247356666932953.9
reimprove-fronts,hv,10,WFG1,51,247356216713901.4
reimprove-fronts,hv,10,WFG2,31,247325010254114.8
reimprove-fronts,hv,10,WFG2,41,247303708497343.6
reimprove-fronts,hv,10,WFG2,51,247290764755835.9
reimprove-fronts,hv,10,WFG3,31,225247067930009.2
reimprove-fronts,hv,10,WFG3,41,225227696297388.9
reimprove-fronts,hv,10,WFG3,51,225225813809982.8
reimprove-fronts,hv,10,WFG4,31,247317105230937.9
reimprove-fronts,hv,10,WFG4,41,247276074570623.0
reimprove-fronts,hv,10,WFG4,51,247225607468386.9
reimprove-fronts,hv,10,WFG5,31,246502629171443.9
reimprove-fronts,hv,10,WFG5,41,246494188659774.0
reimprove-fronts,hv,10,WFG5,51,246489603871295.1
reimprove-fronts,hv,10,WFG6,31,246801095852897.5
reimprove-fronts,hv,10,WFG6,41,246871700305351.7
reimprove-fronts,hv,10,WFG6,51,246907238650598.8
reimprove-fronts,hv,10,WFG7,31,247332574252382.1
reimprove-fronts,hv,10,WFG7,41,247312725548822.8
reimprove-fronts,hv,10,WFG7,51,247295620387385.4
reimprove-fronts,hv,10,WFG8,31,247147667201015.9
reimprove-fronts,hv,10,WFG8,41,247130254764865.7
reimprove-fronts,hv,10,WFG8,51,247093918548615.9
reimprove-fronts,hv,10,WFG9,31,246477050387798.1
reimprove-fronts,hv,10,WFG9,41,246358330869410.9
reimprove-fronts,hv,10,WFG9,51,246159385894203.5
